Date,Time,Open,High,Low,Close,Volume ,Filename
2017.09.22,00:00,3635.89,3754.35,3506.52,3605.05,43484,TXT\BTCUSD_D1.csv
2017.09.25,00:00,3661.41,3959.32,3650.89,3920.3,40727,TXT\BTCUSD_D1.csv
2017.09.26,00:00,3920.09,3961.98,3843.31,3899.06,34604,TXT\BTCUSD_D1.csv
2017.09.27,00:00,3900.79,4180.51,3862.84,4144.85,38272,TXT\BTCUSD_D1.csv
2017.09.28,00:00,4144.86,4262.41,4116.51,4159.09,35818,TXT\BTCUSD_D1.csv
2017.09.29,00:00,4164.11,4219.42,4015.12,4171.1,35661,TXT\BTCUSD_D1.csv
2017.10.02,00:00,4307.98,4445.5,4298.18,4380.83,27950,TXT\BTCUSD_D1.csv
2017.10.03,00:00,4378.79,4417.57,4211.83,4277.08,40387,TXT\BTCUSD_D1.csv
2017.10.04,00:00,4276.19,4335.39,4162.58,4190.76,37153,TXT\BTCUSD_D1.csv
2017.10.05,00:00,4190.9,4348.55,4130.47,4343.67,34695,TXT\BTCUSD_D1.csv
2017.10.06,00:00,4343.66,4414.64,4271.7,4325.68,36548,TXT\BTCUSD_D1.csv
2017.10.09,00:00,4564.57,4855.61,4534.35,4825.97,40933,TXT\BTCUSD_D1.csv
2017.10.10,00:00,4824.93,4902.47,4732.64,4856.16,37555,TXT\BTCUSD_D1.csv
2017.10.11,00:00,4856.17,4862.39,4692.56,4816.51,41315,TXT\BTCUSD_D1.csv
2017.10.12,00:00,4817.56,5380.0,4781.55,5296.72,38552,TXT\BTCUSD_D1.csv
2017.10.13,00:00,5297.71,5838.93,5258.39,5600.35,38972,TXT\BTCUSD_D1.csv
2017.10.16,00:00,5495.49,5739.99,5477.67,5669.03,39212,TXT\BTCUSD_D1.csv
2017.10.17,00:00,5670.55,5798.67,5501.15,5563.04,39792,TXT\BTCUSD_D1.csv
2017.10.18,00:00,5563.75,5591.5,5097.0,5503.4,34453,TXT\BTCUSD_D1.csv
2017.10.19,00:00,5510.18,5727.5,5478.54,5689.89,39287,TXT\BTCUSD_D1.csv
2017.10.20,00:00,5697.03,6065.37,5582.61,5953.72,30591,TXT\BTCUSD_D1.csv
2017.10.23,00:00,5850.83,6036.5,5616.38,5902.86,34135,TXT\BTCUSD_D1.csv
2017.10.24,00:00,5902.9,5926.88,5527.17,5587.42,39762,TXT\BTCUSD_D1.csv
2017.10.25,00:00,5575.59,5692.08,5358.53,5669.8,36890,TXT\BTCUSD_D1.csv
2017.10.26,00:00,5669.66,5980.06,5631.4,5840.96,37656,TXT\BTCUSD_D1.csv
2017.10.27,00:00,5846.52,5986.56,5673.51,5738.33,37929,TXT\BTCUSD_D1.csv
2017.10.30,00:00,6177.82,6222.19,6016.76,6089.75,41005,TXT\BTCUSD_D1.csv
2017.10.31,00:00,6091.12,6410.1,6067.51,6357.25,37766,TXT\BTCUSD_D1.csv
2017.11.01,00:00,6357.28,6615.31,6334.42,6557.32,33734,TXT\BTCUSD_D1.csv
2017.11.02,00:00,6556.96,7345.55,6551.07,7034.1,33423,TXT\BTCUSD_D1.csv
2017.11.03,00:00,7034.66,7470.5,6915.32,7217.57,32573,TXT\BTCUSD_D1.csv
2017.11.06,00:00,7331.01,7411.39,6925.06,7120.99,34977,TXT\BTCUSD_D1.csv
2017.11.07,00:00,7114.03,7234.2,6912.54,7057.14,34118,TXT\BTCUSD_D1.csv
2017.11.08,00:00,7060.6,7878.0,7031.73,7249.63,35209,TXT\BTCUSD_D1.csv
2017.11.09,00:00,7253.49,7485.6,7051.35,7114.98,32498,TXT\BTCUSD_D1.csv
2017.11.10,00:00,7113.51,7332.8,6419.45,6591.0,34904,TXT\BTCUSD_D1.csv
2017.11.13,00:00,5904.58,6765.74,5636.84,6468.33,35603,TXT\BTCUSD_D1.csv
2017.11.14,00:00,6468.14,6738.38,6416.58,6593.71,41419,TXT\BTCUSD_D1.csv
2017.11.15,00:00,6593.16,7340.0,6531.46,7290.02,29957,TXT\BTCUSD_D1.csv
2017.11.16,00:00,7279.65,7884.95,7110.93,7876.44,34471,TXT\BTCUSD_D1.csv
2017.11.17,00:00,7876.99,7987.0,7522.82,7706.2,35867,TXT\BTCUSD_D1.csv
2017.11.20,00:00,8010.43,8257.95,7890.01,8238.01,26859,TXT\BTCUSD_D1.csv
2017.11.21,00:00,8237.26,8344.41,7762.5,8120.83,32846,TXT\BTCUSD_D1.csv
2017.11.22,00:00,8120.81,8299.96,7925.59,8200.12,30667,TXT\BTCUSD_D1.csv
2017.11.23,00:00,8203.54,8273.99,8060.9,8151.41,37148,TXT\BTCUSD_D1.csv
2017.11.24,00:00,8151.03,8329.7,7866.49,8229.3,36553,TXT\BTCUSD_D1.csv
2017.11.27,00:00,9213.85,9710.83,9178.94,9621.91,30527,TXT\BTCUSD_D1.csv
2017.11.28,00:00,9621.71,9955.67,9550.06,9928.15,24570,TXT\BTCUSD_D1.csv
2017.11.29,00:00,9928.13,11372.5,9235.0,10179.99,27865,TXT\BTCUSD_D1.csv
2017.11.30,00:00,10179.99,10661.12,8980.01,9680.83,91943,TXT\BTCUSD_D1.csv
2017.12.01,00:00,9679.49,10929.49,9351.18,10882.23,88699,TXT\BTCUSD_D1.csv
2017.12.04,00:00,10885.24,11572.83,10505.96,11443.02,104181,TXT\BTCUSD_D1.csv
2017.12.05,00:00,11451.28,11829.98,11369.06,11741.85,96559,TXT\BTCUSD_D1.csv
2017.12.06,00:00,11742.12,13179.49,11615.52,13179.49,92809,TXT\BTCUSD_D1.csv
2017.12.07,00:00,13176.0,15973.49,13087.01,15645.51,92335,TXT\BTCUSD_D1.csv
2017.12.08,00:00,15645.53,16635.71,13721.71,15579.51,99247,TXT\BTCUSD_D1.csv
2017.12.11,00:00,14097.5,17237.74,14095.0,16930.46,106423,TXT\BTCUSD_D1.csv
2017.12.12,00:00,16930.47,17397.51,15938.08,16999.49,90366,TXT\BTCUSD_D1.csv
2017.12.13,00:00,16999.49,17170.0,15467.7,16449.96,94755,TXT\BTCUSD_D1.csv
2017.12.14,00:00,16449.97,16795.0,15822.7,16277.18,106344,TXT\BTCUSD_D1.csv
2017.12.15,00:00,16279.77,17901.99,16191.87,17364.11,117402,TXT\BTCUSD_D1.csv
2017.12.18,00:00,18818.38,19269.89,17817.61,18665.0,102763,TXT\BTCUSD_D1.csv
2017.12.19,00:00,18663.73,19083.01,16810.63,17053.79,123535,TXT\BTCUSD_D1.csv
2017.12.20,00:00,17026.86,17923.14,15789.31,16230.0,55471,TXT\BTCUSD_D1.csv
2017.12.21,00:00,16231.07,17260.0,14985.0,15695.11,42487,TXT\BTCUSD_D1.csv
2017.12.22,00:00,15670.0,15830.03,11139.93,14165.02,42878,TXT\BTCUSD_D1.csv
2017.12.26,00:00,13663.16,16125.0,13586.0,15841.02,40854,TXT\BTCUSD_D1.csv
2017.12.27,00:00,15841.03,16460.51,14464.0,15081.14,44973,TXT\BTCUSD_D1.csv
2017.12.28,00:00,15130.0,15463.2,13480.0,13890.0,45208,TXT\BTCUSD_D1.csv
2017.12.29,00:00,13881.0,15076.39,13846.82,14255.57,44950,TXT\BTCUSD_D1.csv
2017.12.30,00:00,14270.01,14639.36,12030.0,12958.12,45203,TXT\BTCUSD_D1.csv
2017.12.31,00:00,12958.13,14091.2,12958.13,13957.48,1791,TXT\BTCUSD_D1.csv
2018.01.02,00:00,13480.75,15232.99,12890.58,14747.64,42796,TXT\BTCUSD_D1.csv
2018.01.03,00:00,14747.66,15375.0,14526.38,15007.0,39338,TXT\BTCUSD_D1.csv
2018.01.04,00:00,15007.05,15409.11,14171.0,14873.34,41839,TXT\BTCUSD_D1.csv
2018.01.05,00:00,14865.0,16887.97,14790.0,16682.0,37965,TXT\BTCUSD_D1.csv
